label,is_not_disease,is_pathogen,is_promed_label,parent_label,not_human_disease,is_category,wiki_link,synonym,Non-HM disease label,comments
Downy Mildew,,,TRUE,,,,,,,
Dysentery,TRUE,,,,,,http://en.wikipedia.org/wiki/Dysentery,,,
E. coli,,TRUE,,,,,http://en.wikipedia.org/wiki/Escherichia_coli,Escherichia coli,,
Eastern Equine Encephalitis,,TRUE,,Encephalitis,,,http://en.wikipedia.org/wiki/Eastern_equine_encephalitis_virus,"Triple E, EEE, Equine encephalomyelitis, sleeping sickness",,
Ebola,,TRUE,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Ebola_virus_disease,Ebola virus diseae,,
Echinococcosis,,TRUE,,,,,http://en.wikipedia.org/wiki/Echinococcosis,"hydatid disease, hydatidosis, echinococcal disease",,
Elephantiasis,,,,,,,http://en.wikipedia.org/wiki/Elephantiasis,,,
Encephalitis,TRUE,,,,,,http://en.wikipedia.org/wiki/Encephalitis,,,
Enterobacter cloacae,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterobacter_cloacae,,,
Enterococcus,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterococcus,,,
Enterovirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterovirus,,,
Enterovirus 68,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterovirus_68,,,Recently Added to HealthMap
Environmental,TRUE,,,,,,NAP,,,
Eosinophilia,TRUE,,,,,,http://en.wikipedia.org/wiki/Eosinophilia,,,
Epizootic Hemorrhagic Disease,,,,,,,http://en.wikipedia.org/wiki/Epizootic_Hemorrhagic_Disease,,,
Equine Herpes Virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus,,,There are 5 types. I have provided links to them below
Equine Herpesvirus 1,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_1,,,
Equine Herpesvirus 2,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_2,,,
Equine Herpesvirus 3,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_3,,,
